genes,t_stats,p_values,fdr_corrected_p
GRM3,-3.570039414856417,0.0004310488372991357,0.1387977256103217
DGKA,0.7341264716670505,0.46358825949231075,0.8903169043674025
RAB5B,-0.6793081894857695,0.49759721669535617,0.9022161164049712
SEZ6L,-0.050678115898039944,0.9596241671764472,0.9853233834523528
PSME1,0.6207974450961256,0.535322003159638,0.9179646928674411
RRAGC,-1.0941517204699838,0.2749853530378643,0.827294381660711
ARHGEF16,-0.17010129179737263,0.8650737785549159,0.9763984461847085
C11orf80,-0.23331454780912808,0.8157160347480381,0.9699429955275786
UFD1,-0.00019326620705460674,0.9998459564234273,0.9998459564234273
CCER2,1.0770910442535475,0.2825210504311941,0.827294381660711
DHX37,-0.20529486659489646,0.8375157705247784,0.9744923945746027
TBX15,0.006971676413928021,0.9944432435617683,0.9981631060688572
PNN,0.10735333885955471,0.914598357622993,0.9794916357866792
PTPRF,2.545894330232798,0.011526271920617118,0.3453847165597089
HOXC5,-2.062922978731138,0.040195937019092326,0.5218988596833762
MPP1,2.2766763724783017,0.023686754676538184,0.409246601155016
IGSF8,-1.7937974908935579,0.0741042660909361,0.631258562996863
RGS9BP,-1.2692710320246998,0.2055738935853771,0.7678593256398859
PIP4K2B,1.5716412394804826,0.11735115814393696,0.7052575556013689
CBLN3,1.8500974888878572,0.06552864766025379,0.6119508093736731
CIART,-0.047101212886742905,0.9624717306919897,0.9853233834523528
FZD1,-0.2507353527865376,0.8022332490448707,0.9677277617569142
SELENOV,-0.06170268350433295,0.9508509562285309,0.984588790340795
TM7SF3,0.5749456695659887,0.5658666194378893,0.9202477346414158
EBNA1BP2,-0.21628214800832649,0.8289515413499039,0.9738202353109606
MTF1,0.7508712315318252,0.4534657280668243,0.8903169043674025
C6orf89,-0.26802311702567255,0.7889117380862651,0.9677277617569142
ZCCHC17,0.08322590831819728,0.9337412856789147,0.9794916357866792
HRNR,-3.5109728667743556,0.000533180848186106,0.14307019426327178
MYNN,-0.7859758889093428,0.43265691507377546,0.8764660923418588
PPP1R9A,-0.9140441602977968,0.3616110004144616,0.8549100009798578
C2CD3,2.3480086895722883,0.019686830737867568,0.4054507101427252
SLC1A2,1.1856750005484529,0.2369232451313587,0.8060521199733213
CLSPN,0.4537750940756299,0.6504007662340319,0.9444227204786183
GMPR2,0.9430361930328491,0.3466107103665822,0.8451964676789492
ANXA1,-0.7999442405233145,0.42453416950492884,0.8743147011917128
FAM168A,0.2510957351435898,0.801954941653855,0.9677277617569142
PRL,-1.6601604297799277,0.09818813233862425,0.6827701640469745
AHCY,2.654881816165312,0.0084645288447463,0.31692770790794283
LCE2A,0.27966366723025327,0.7799764266338494,0.9677277617569142
TMEM161A,0.24779151637463764,0.8045075864100482,0.9677277617569142
MRPL48,-1.0331703161445775,0.3025641687615149,0.827294381660711
TBX10,-0.2245899716630631,0.8224893587394565,0.9729668387733467
NT5C1A,0.1551887908232053,0.8768029227110772,0.9763984461847085
HAPLN4,-0.34947576849435213,0.7270386089407763,0.9547570639434338
MTERF1,-0.8197574627791026,0.41316773686927355,0.8684364720907436
CCDC116,-0.8520967015739191,0.3950098975461289,0.8684364720907436
EGFR,1.0313681919166569,0.3034064068162517,0.827294381660711
TUSC1,-0.18046702108394583,0.8569382359175066,0.9763984461847085
DENND5B,-0.6627211783194427,0.5081450878390159,0.9048338615099487
CD5L,-1.8594019562172541,0.06419393387688999,0.6119508093736731
FGF19,-0.9210311431546007,0.3579590420657591,0.8526199599036526
MRPL9,-0.6604339498592278,0.5096087674185541,0.9048338615099487
DPY19L3,1.6024799826573701,0.11036479146422877,0.7052575556013689
CDH24,0.3630733381337387,0.716869669248305,0.9507085399421508
ERBB3,-2.7844979297251022,0.005788531814110823,0.26712703780075253
SLC2A13,-0.11229562167917688,0.9106828788108621,0.9794916357866792
TMEM125,0.045303198223890825,0.9639033098990408,0.9853233834523528
NPC1,-0.604746281308184,0.545918908833863,0.918551226762813
ATP1A4,1.7881496088752313,0.07501331345392183,0.6352641804264311
TCHH,-0.946810341061549,0.3446877357093986,0.8451964676789492
KCTD21,0.6875910766344001,0.4923742782527515,0.9008633112172126
RPS16,1.0403247017910422,0.2992359555209091,0.827294381660711
MED21,-1.476659858509741,0.1410777405920525,0.7189762992715542
EEF1AKMT2,-1.000182713534393,0.31822943756938077,0.827294381660711
RNF223,-0.867852515282948,0.3863420039462704,0.8684364720907436
ST8SIA1,1.530679747796154,0.12716555969540952,0.7183738635424889
PLAAT4,0.3526392026603631,0.7246684351873327,0.9531994939964098
UBA2,1.0933911229043518,0.27531833994284266,0.827294381660711
NRL,0.20088783540894486,0.8409564200497227,0.9744923945746027
CAPN12,1.4010442603961646,0.16249253799705668,0.7189762992715542
ABCC3,-0.1701112093387778,0.8650659877470815,0.9763984461847085
LANCL2,0.2128621574011349,0.8316151717792994,0.9738202353109606
JPT1,0.2642469451756888,0.7918164114635566,0.9677277617569142
ZNF569,-0.10631478123698113,0.9154214139728112,0.9794916357866792
